"Address","Errors","Warnings","Total Types","Unique Types","Type-1","Type-2","Type-3","Type-4","Type-5","Type-6","Indexability","Indexability Status"
"https://www.bettersleep.com/blog/immersive-soundscapes-to-fall-asleep/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/sound/page/2/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/7/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/8/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/5/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/6/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/3/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/pairing-meditation-and-music-for-the-perfect-relaxing-combination/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/meditation/page/2/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/4/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/avoid-road-rage-create-a-space-of-calm/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-to-find-balance-through-meditation/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/fr/blog/meditation/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/time-to-focus-white-noise/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/fall-asleep-to-the-relaxing-sounds-of-a-crackling-fire/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/soothing-music-for-your-pets-1/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-rain-helps-relaxation-and-sleep/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/the-best-vocal-asmr-sounds-to-add-to-your-relaxation-mix/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/sleep/page/8/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleepwalking-in-kids/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/sleep/page/6/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/20/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/22/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/10/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/4/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/dream-dive-mice-and-rats/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/sleep/page/2/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/12/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/24/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/14/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/26/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/16/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/18/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/9/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/setting-up-your-toddlers-room-things-you-should-consider/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
